PALABRA_CLAVE;SINONIMOS;GRUPO 1;GRUPO 2;1.1;1.2;1.3;1.4;1.5;2.1;2.2;2.3;3.1;3.2;3.3;3.4;4.1;4.2;4.3;5.1;5.2;5.3;6.1;6.2;6.3;6.4;6.5
CIBERAYUDANTE;CIBER AYUDANTE, ciber-ayudante, ciberayudantes, ciberacoso, ciberbullying;REDES;;;;;1;1;;;;1;1;1;;;;;;;;;;;1;1
CIBERSEGURIDAD;CIBER SEGURIDAD;REDES;;1;1;;1;2;;;;1;;;;;;;;;;;;;1;
COMMUNITY MANAGER;COMUNITY MANAGER, CM ;REDES;NUBE;1;1;;1;1;;;;1;;;;;;;;;;;1;;;1
COMPETENCIA DIGITAL;CD, CDD, digitalización, competencia informacional y digital;REDES;;1;;;1;1;;;;1;;;;;;;;;;;;;;
COMPUTACIONAL;;REDES;;;;;1;;;;;1;;;;;;;;;;;;;;1
E-LEARNING;ELEARNING;REDES;;;;;1;;;1;;1;1;;1;1;;;;;;;1;;;
E-TWINNING;ETWINNING, ETWINING, E-TWINING, e Twinning, e Twining, Erasmus+, K1, K2, etwinnings, PROYECTO ERASMUS, K219, Erasmus-Plus, erasmus plus, Erasmusplus;REDES;;1;2;1;1;1;;;;1;1;3;;1;;;;;;;1;;;1
EDUCABLOGERS;EDUCABLOGGERS, EDUCABLOGER, EDUCABLOGGERS;REDES;;1;1;;1;1;;;;1;;1;;;;;;;;;;;;1
INFORMATICA;HERRAMIENTAS INFORMATICAS, HERRAMIENTA INFORMATICA, aplicaciones informáticas, INFORMATICO, INFORMÁTICO, kit de herramientas;REDES;;;;;1;;;;;1;;;;;;;;;;;;;;1
REDES INFORMÁTICAS;;REDES;TTDD PED;;;;1;;;;;1;;;;;;;;;;;;;;1
INTERNET;;REDES;;1;;;1;1;;;;1;;;;;;;;;;;;;;1
REDES SOCIALES;RRSS, Facebook;REDES;;1;;;1;1;1;;1;1;;1;;;;;;;;;1;;1;1
SEO;;REDES;;1;;;1;1;;;;1;;;;;;;;;;;;;;1
SOPORTES INFORMATICOS;ordenador, proyector, ordenadores, monitores interactivos, dispositivos móviles, mesa digital, mesas digitales;REDES;;;;;1;1;;;;1;;;;;;;;;;;;;;1
TAC;T.A.C, TAP, TAP-M7, tecnologias del aprendizaje, tictactep, tapm7;REDES;;1;;;1;1;;;;1;;;;;;;;;;;;;;1
TIC;tics, TIC-TAC, TIC/TAC, tecnologia de l'aprenentatge i coneixement, medios tecnologicos, nuevas tecnologías, tecnologías del aprendizaje, tecnologías de la información, TIC-TAC-TEP, ICT, ICT resources, TICTAC, TICTAPTEP;REDES;;;;;1;1;;;;1;;;;;;;;;;;;;;1
GOOGLE SITES;GOOGLE APPS;REDES;NUBE;1;1;;1;1;;;;;;;;1;;;;;;;1;;;1
wix;;REDES;;1;1;;1;1;;;;;;;;1;;;;;;;1;;;1
GOOGLE;;REDES;;1;;;1;;;;;;;;;;;;;;;;;;;1
WEBGRAFÍA;;REDES;;1;1;;1;1;1;1;;1;;1;1;1;;;;;;;;;;1
PAGINA WEB;paginas web, web, página web-blog, webs, web.online, webblog, webonline;REDES;ROBOTICA Y PROGRAMACION;1;1;;1;1;;1;;1;;1;1;1;;;;;;;;;;1
Educación digital;;REDES;;1;;;1;1;;;;1;;;;;;;;;;;;;;1
RECURSOS DIGITALES;RECURSO DIGITAL, Recursos materiales y digitales, actividades digitales, recursos 2.0, recursos 20;REDES;SOFTWARE;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
MEDIOS DIGITALES;MEDIO DIGITAL, medios informáticos, programas digitales;REDES;;;;;1;1;;;;1;;;;;;;;;;;;;;1
NUEVAS TECNOLOGÍAS;NUEVAS TECNOLOGIAS;REDES;;;;;1;1;;;;1;;;;;;;;;;;;;;1
ALPHABOT;ALFABOT, -ALPHABOT;ROBOTICA Y PROGRAMACION;;;;;1;;;;;1;;;;;;;;;1;;;;;1
ARDUINO;BQ ZUM;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
BEE-BOT;BE BOT, BEE BOT, BEEBOT, beet-bot;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
ARGIS;ARGUIS;ROBOTICA Y PROGRAMACION;;;;;1;;;;;1;;;;;;;;;1;;;;;1
BLYNK;BLINK;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
CODE;CODING, CODE.ORG;ROBOTICA Y PROGRAMACION;SOFTWARE_LIBRE;;;;1;;;1;;1;;;;;;;1;;1;;;;;1
CURA;;ROBOTICA Y PROGRAMACION;;;;;1;;;;;1;;;;;;;;;1;;;;;1
JAVA;OBJETOSJAVA;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
LEGO WEDO;LEGOWEDO, LEGO WE DO, LEGO WIDO, LEGOWIDO;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
MAKEY MAKEY;MAKI MAKI ;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
MASTERCAM;MASTER CAM;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
MBLOCK;EM BLOCK, EMBLOCK, EME BLOCK, EMEBLOCK;ROBOTICA Y PROGRAMACION;SOFTWARE_LIBRE;;;;1;;;1;;1;;;;;;;1;;1;;;1;;1
MBOT;EM BOT, EMBOT, EME BOT, EMEBOT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
MCLON;EM CLON, EMCLON, EME CLON, EMECLON;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
NODEMCU;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
PYTHON;PITHON, PYTON, PITON;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
RASPERRY PI;RASPERY PI, RASPERRI PI, RASPERY PY, RASPERI PY, RASPERRY PY, RASPBERRY, -PIBRELLA, PIBRELLA;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;1;;1;;;;;1
REALIDAD VIRTUAL;RV;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
REALIDAD AUMENTADA;RA;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
REBOTECH;REBOTEC;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
ROVER MARCIANO;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
SCRATCH;SCRACH, SCRATC, SCRACHT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
SCRIBUS;;OFIMATICA;;;;;1;;;1;;1;;;;;;;1;;;;;1;;
SPHERO;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
STARS;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;1;;;;;;;1;;;1;;1
TINKERCAD;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
ESCORNABOT;SCORNABOT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
BLUEBOT;BLUBOT, BLUE BOT, BLU BOT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
D_BOT;D BOT, DBOT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
DBOT;D_BOT, D BOT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;
OTTO;OTO;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
OTTONINJA;OTONINJA, OTTO NINJA, OTO NINJA, OTTONINYA, OTTO NINYA, OTONINYA, OTO NINYA;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
RANDOFO;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
DOODLE ROBOT;DUDLE ROBOT, DOODEL ROBOT, DUDEL ROBOT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
MINI KAME;MINI CAME;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
BABY SUMO;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
ZOWIMANOIDE;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
CYCLOPS;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
ICEBOT;EYESBOT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
CURIOSITY BTL;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
F5 T;F5T;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
F5 T EASYBOT;F5T EASYBOT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
CAR RC JUNIOR;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
VELOCIBOTCBR;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
SUMOBOTCBR;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
STEAM;STIM;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
STEM;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
MICROBIT;MICRO BIT, micro:bit;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
PENSAMIENTO COMPUTACIONAL;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
WEAREABLE;WEREABOL;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
LENGUAJE DE PROGRAMACIÓN;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
STI;;ROBOTICA Y PROGRAMACION;;;;1;1;;;1;;1;;;;;;;1;;;;;;;1
PDI;PDIs, TABLET, SMARTPHONE, SMARTPHONES, pizarra digital, Ipad, tablets, pizarras digitales, tabletas;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;1;;;;;;;1
JAVASCRIPT;JAVA SCRIPT;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
GIT;GITHUB;ROBOTICA Y PROGRAMACION;SOFTWARE_LIBRE;;;;1;;;;1;1;;;;;;;1;;;;;;;1
CHROMEBOOK;CHORMEBOOKS, CHROME BOOK, CHROMEBOOKS, Chrombooks;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;1;;;;;;;1
INVENTOR;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
ROBÓTICA;ROBOTICA, ROBODOMOTICA, DOMOTICA, DOMOTICO, ROBOT, ROBOTS, DOMÓTICA, DOMÓTICO, ROBODOMÓTICO, ROBODOMÓTICA, KNX, LONWORKS, X10;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
APP;APPS, APLICACIONES DIGITALES, APLICACIONES TECNOLÓGICAS, APLICACIONES TIC, APLICACIÓN TIC, aplicaciones educativas, aplicación educativa;ROBOTICA Y PROGRAMACION;SOFTWARE;;;;1;;;1;;1;;;;;;;;;1;;;1;1;1
BITBLOQ;BIT BLOQ, BITBLOCK;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;1;;1
IMPRESIÓN 3D;IMPRESION 3D, impresión 3 d, impresion 3 d, impresión 3-d, impresion 3-d, impresión en 3D, ESCÁNER 3D, SCÁNER 3D, ESCANER 3D, ESCANER 3D, impresoras 3D.;ROBOTICA Y PROGRAMACION;;;;;1;;;;;1;;;;;;;;;1;;;;;1
SMARTPHONE;;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;1;;;;;;;1
DRON;DRONES;ROBOTICA Y PROGRAMACION;;;;;1;;;1;;1;;;;;;;;;1;;;;;1
